username,password,password_hash,first_name,last_name,Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
vpatel,A8f!aa@1,0eeaff7a05dd2a52806ebe1b033d0916ba603e051a2c73c1fe56f4f90d28c685,Vikram,Patel,Computer Science and Engineering,Male,3.0,4.06,"Low (Below 15,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,1.92,1.92
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rohit,Yadav,Computer Science and Engineering,Male,4.17,5.0,"Lower middle (15,000-30,000)",City,3,2-3 Hours,More than 3 Hours,60%-79%,No,3,No,2nd,2.06,1.97
rpatel,Dd4!55@1,3af4b1633edfe7769a0fbc18d5be25da40aaa0f52a7259cfcd7179d05606f026,Rajesh,Patel,Computer Science and Engineering,Male,4.42,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,0-1 Hour,60%-79%,No,2,No,11th,2.33,2.0
pyadav,F0f!1b@1,092f22edb89300db312411d54e4d5e37d252d736e1b2a2c59c3a72d5af80179a,Prakash,Yadav,Computer Science and Engineering,Male,4.0,4.78,"Low (Below 15,000)",Village,3,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,8th,2.16,2.0
vsingh,024!3a@1,80023e8e016ec81870907ee3e9d3c8284ea36df515dd12e63949011dbcb5883c,Vikram,Singh,Computer Science and Engineering,Male,4.5,4.75,"Low (Below 15,000) ",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,5th,1.5,2.02
sjain,Ad3!bd@1,170dcd51f2f558ea1ffcda323ba25750889ba10ddf99ee8f342291482d2d0cfb,Suresh,Jain,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,8th,1.64,2.1
vsingh,024!3a@1,80023e8e016ec81870907ee3e9d3c8284ea36df515dd12e63949011dbcb5883c,Vikram,Singh,Computer Science and Engineering,Male,3.5,4.78,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,5th,1.33,2.1
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rohit,Yadav,Computer Science and Engineering,Male,3.82,5.0,"Lower middle (15,000-30,000)",City,4,2-3 Hours,More than 3 Hours,60%-79%,No,4,No,3rd,2.5,2.1
schoudhary,Bc8!22@1,03796808ef2542b9024523b3b313131baf3cfeeae16805c5a21d6c05771d0e46,Suresh,Choudhary,Computer Science and Engineering,Male,4.5,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,Yes,4,No,10th,2.23,2.17
schoudhary,Bc8!22@1,03796808ef2542b9024523b3b313131baf3cfeeae16805c5a21d6c05771d0e46,Sunita,Choudhary,Computer Science and Engineering,Female,4.58,3.96,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.11,2.17
rsingh,C7d!6f@1,ee0fee2bda658eb09f021c5ec6fa4656fb2465b6091089d325415e4ca39692de,Rohit,Singh,Computer Science and Engineering,Male,3.23,4.33,"Low (Below 15,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.17,2.17
achoudhary,670!d1@1,1b6b8ae8705b33b74c349a3925ae7e139194b926839fea4643ff5eb4114ee4d7,Amit,Choudhary,Computer Science and Engineering,Male,2.17,4.33,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.08,2.17
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rajesh,Yadav,Computer Science and Engineering,Male,3.67,4.28,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,1.94,2.2
pgupta,475!81@1,4a1454554da1e393587702ec98bdd75e278c4483f22107730b9a17f24e2f821b,Prakash,Gupta,Computer Science and Engineering,Male,3.8,4.94,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.0,2.22
asingh,62f!86@1,10db1b7dfd4a8730549bc47a58952a31ff463cfb7cb6815c687e4547b527d1b9,Amit,Singh,Computer Science and Engineering,Male,3.25,4.94,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.25,2.25
rverma,852!90@1,51aabc905c874fb2e5c693b4b7d04bab16ceea1d99de71e418bb51aab8161a37,Rekha,Verma,Computer Science and Engineering,Female,4.5,4.75,"High (Above 50,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,7th,2.25,2.25
pjain,Aba!fe@1,49e65bfe327f6052b93e09edcd62008f6297dba69b53b06b053cd4c01d5a9472,Prakash,Jain,Computer Science and Engineering,Male,4.0,4.72,"Upper middle (30,000-50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.25,2.25
dchoudhary,7c2!e3@1,4c8d140c31c9c2f30f5181688a3117884afc658112af88f84402df34aa218972,Dinesh,Choudhary,Computer Science and Engineering,Male,3.42,4.78,"Lower middle (15,000-30,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.25,2.25
schoudhary,Bc8!22@1,03796808ef2542b9024523b3b313131baf3cfeeae16805c5a21d6c05771d0e46,Suresh,Choudhary,Computer Science and Engineering,Male,4.0,5.0,"High (Above 50,000)",Village,2,2-3 Hours,More than 3 Hours,60%-79%,No,3,Yes,2nd,2.31,2.28
asharma,C5e!2e@1,a0c81e812c7fa6bf141b1c8441ae4d3f4508d3180827e0da425002a1c51651bb,Amit,Sharma,Computer Science and Engineering,Male,3.33,4.19,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.3,2.3
rkumar,243!27@1,348cdc129ca4dd7fa5dd20a6dc2f5ffcebf805d8237baec2bec16d56b43fbd48,Rajesh,Kumar,Computer Science and Engineering,Male,4.25,4.38,"High (Above 50,000) ",City,3,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,7th,2.25,2.3
rsingh,C7d!6f@1,ee0fee2bda658eb09f021c5ec6fa4656fb2465b6091089d325415e4ca39692de,Rohit,Singh,Computer Science and Engineering,Male,3.75,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,2nd,2.31,2.31
kmishra,3c6!58@1,f8b5947d45358a127fe54f2bb22e776455e300aba3f89a6bf54eda91f4d103ca,Kavita,Mishra,Computer Science and Engineering,Female,3.58,5.0,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.31,2.31
vchoudhary,840!c2@1,3bf4c42bdf52f8a2a5f5ef84a525c5b5ca86427ab44fa77ad541560d42299fe5,Vikram,Choudhary,Computer Science and Engineering,Male,4.25,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.31,2.31
pjain,Aba!fe@1,49e65bfe327f6052b93e09edcd62008f6297dba69b53b06b053cd4c01d5a9472,Priya,Jain,Computer Science and Engineering,Female,4.5,4.75,"Upper middle (30,000-50,000)",Village,1,More than 3 Hours,More than 3 Hours,60%-79%,No,3,No,5th,2.44,2.33
dverma,D51!c7@1,e8418faca588d70afb9d19e2f2a4f9dcaeec64528b4fb5b7efb24e10ab29a7c7,Divya,Verma,Computer Science and Engineering,Female,3.83,4.94,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,5th,2.33,2.33
achoudhary,670!d1@1,1b6b8ae8705b33b74c349a3925ae7e139194b926839fea4643ff5eb4114ee4d7,Amit,Choudhary,Computer Science and Engineering,Male,3.08,4.22,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.33,2.33
vverma,A66!08@1,6caa7a1b48534accc73b3fac6473b7f4604b68652052dc866530171d15b9a672,Vivek,Verma,Computer Science and Engineering,Male,3.67,4.91,"Upper middle (30,000-50,000)",City,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.33,2.33
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rajesh,Yadav,Computer Science and Engineering,Male,5.0,4.75,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,Yes,4,No,9th,2.39,2.35
ayadav,3a4!dc@1,9c6c1ec57281f3fa0601414b868a46d661fda4f899a1953d46eddbc3c0dc04b0,Amit,Yadav,Computer Science and Engineering,Male,4.56,4.82,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,8th,2.35,2.35
akumar,C5c!28@1,6a3675d218862476fba37b4d041f25722f21e6e979c9544bc5a0b72d9eb02122,Ankit,Kumar,Computer Science and Engineering,Male,5.0,4.72,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,5,Yes,6th,2.35,2.35
agupta,Efb!af@1,6ccd409166fd6d38660ca386877d7d64aabe1a2e93bbd7dd855b32717d8f0c23,Ankit,Gupta,Computer Science and Engineering,Male,3.92,5.0,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
dmishra,9e8!d6@1,b1581f5d2797095c05fdfc2cb9246b2a3c5bbc4590bb58345bf051aad950e90e,Dinesh,Mishra,Computer Science and Engineering,Male,4.42,4.32,"Upper middle (30,000-50,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
dsharma,6fb!eb@1,c3189b3d69bfd95795a198e52bae5c0ea2e6fccbd4e6a9c9ebf5b75b5c0505f6,Divya,Sharma,Computer Science and Engineering,Female,3.42,4.14,"High (Above 50,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
nkumar,271!b4@1,4dd55de766a9e940a4e6b45de98aa07167b51f6babe8ab4a66272b21b7f088cf,Neha,Kumar,Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.38,2.38
apatel,45a!6d@1,f59cec2e950eea894f5d55d649a56f7685a1504d63ea2843bb959c4258efe2f7,Anjali,Patel,Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,2,No,10th,2.41,2.41
dsharma,6fb!eb@1,c3189b3d69bfd95795a198e52bae5c0ea2e6fccbd4e6a9c9ebf5b75b5c0505f6,Dinesh,Sharma,Computer Science and Engineering,Male,4.17,4.82,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.44,2.44
asingh,62f!86@1,10db1b7dfd4a8730549bc47a58952a31ff463cfb7cb6815c687e4547b527d1b9,Amit,Singh,Computer Science and Engineering,Male,4.0,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,2nd,2.44,2.44
djain,D99!4d@1,5ddea823c3cbb298ef2ed0d6c123b9fee4bd916f1685a52c797ad04a8dc3b715,Dinesh,Jain,Computer Science and Engineering,Male,4.86,5.0,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,80%-100%,Yes,3,No,11th,2.35,2.45
rpatel,Dd4!55@1,3af4b1633edfe7769a0fbc18d5be25da40aaa0f52a7259cfcd7179d05606f026,Rajesh,Patel,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,3,No,3rd,2.25,2.45
vpatel,A8f!aa@1,0eeaff7a05dd2a52806ebe1b033d0916ba603e051a2c73c1fe56f4f90d28c685,Vivek,Patel,Computer Science and Engineering,Male,3.63,4.91,"Lower middle (15,000-30,000)",City,5,2-3 Hours,More than 3 Hours,60%-79%,No,4,No,3rd,2.58,2.47
rkumar,243!27@1,348cdc129ca4dd7fa5dd20a6dc2f5ffcebf805d8237baec2bec16d56b43fbd48,Rohit,Kumar,Computer Science and Engineering,Male,2.25,4.28,"Low (Below 15,000)",City,5,2-3 Hours,0-1 Hour,80%-100%,Yes,5,Yes,11th,3.0,2.5
pgupta,475!81@1,4a1454554da1e393587702ec98bdd75e278c4483f22107730b9a17f24e2f821b,Prakash,Gupta,Computer Science and Engineering,Male,2.92,4.75,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,8th,2.73,2.5
vkumar,2bc!e6@1,03f84da3570a9c36ed9f6bf8ccb1f6e4469f441488f4eb0ce7234271c39e698a,Vivek,Kumar,Computer Science and Engineering,Male,4.33,5.0,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.5,2.5
ssingh,C39!23@1,8f3513690e5ebcba64d5079a56ab7d15c05789baf91b123ed74b5dbf31d0a841,Suresh,Singh,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,3,Yes,10th,2.83,2.53
achoudhary,670!d1@1,1b6b8ae8705b33b74c349a3925ae7e139194b926839fea4643ff5eb4114ee4d7,Amit,Choudhary,Computer Science and Engineering,Male,5.0,4.78,"High (Above 50,000)",City,3,0-1 Hour,2-3 Hours,80%-100%,No,3,Yes,4th,2.24,2.55
pchoudhary,24d!79@1,c574c79cf710cd584a4c8f5a9f710323eb536f931958ca4703ff10b9770220ce,Pooja,Choudhary,Computer Science and Engineering,Female,3.16,4.19,"Upper middle (30,000-50,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,Yes,4,No,5th,2.75,2.55
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vivek,Gupta,Computer Science and Engineering,Male,4.67,5.0,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
dsingh,2bd!78@1,2e7bb4dd923f13e29473ec579ab875b5c7da9bcce1837ee5b72f2344274003e5,Dinesh,Singh,Computer Science and Engineering,Male,3.67,4.82,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
pgupta,475!81@1,4a1454554da1e393587702ec98bdd75e278c4483f22107730b9a17f24e2f821b,Prakash,Gupta,Computer Science and Engineering,Male,3.75,4.11,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.56,2.56
pverma,7d8!53@1,3f58c666b3669beea18005f8228155fe4cd0e8ebdb2289c977393dcf08061749,Prakash,Verma,Computer Science and Engineering,Male,4.5,3.61,"Low (Below 15,000)",Village,4,More than 3 Hours,More than 3 Hours,80%-100%,No,4,Yes,2nd,3.0,2.58
rchoudhary,81a!d4@1,50b6f63f64070012aff2b9c1d53dba48a6cf466b99c9ce6a3a969b0f33557862,Rahul,Choudhary,Computer Science and Engineering,Male,2.94,4.39,"High (Above 50,000) ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.64,2.64
ppatel,74e!20@1,cbe047ca8882bb4f9b8a333149185a25887f84ea9cf33e4148dd4c32694176f8,Prakash,Patel,Computer Science and Engineering,Male,3.59,5.0,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
rmishra,43d!7a@1,1e3af4a490fe524dc604cedce2cabd9ae965dcd582e545bcdf8b0dcde818e31a,Rohit,Mishra,Computer Science and Engineering,Male,3.0,4.33,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
pjain,Aba!fe@1,49e65bfe327f6052b93e09edcd62008f6297dba69b53b06b053cd4c01d5a9472,Prakash,Jain,Computer Science and Engineering,Male,3.67,5.0,"Lower middle (15,000-30,000) ",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
vsingh,024!3a@1,80023e8e016ec81870907ee3e9d3c8284ea36df515dd12e63949011dbcb5883c,Vivek,Singh,Computer Science and Engineering,Male,4.08,5.0,"High (Above 50,000) ",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,2nd,2.69,2.69
rsharma,83c!4b@1,a44d4d97528b1c54e10df0c2d6d516b4ab19a73922fd859924125f1756facfe2,Rahul,Sharma,Computer Science and Engineering,Male,4.33,5.0,"Low (Below 15,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.7
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vivek,Gupta,Computer Science and Engineering,Male,5.0,5.0,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,9th,2.83,2.7
vjain,158!f2@1,6266042c2f6e4b6b9842754f133b66b4b9ef75caa59068acea6f5b37bc56714d,Vivek,Jain,Computer Science and Engineering,Male,3.92,5.0,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.83,2.7
ssharma,Aed!ae@1,c6842ebce1a5634ac10be81ba0127de49e0f85da0d5507bb4c4adabdfc7707ba,Sneha,Sharma,Computer Science and Engineering,Female,5.0,5.0,"Lower middle (15,000-30,000)",Village,3,More than 3 Hours,More than 3 Hours,80%-100%,Yes,3,Yes,4th,2.41,2.75
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rahul,Jain,Computer Science and Engineering,Male,5.0,5.0,"Lower middle (15,000-30,000)",City,3,2-3 Hours,2-3 Hours,80%-100%,Yes,3,Yes,4th,2.35,2.75
vmishra,672!e3@1,99fd5d9a2b85bd4ac107d39c1fa86b549421871c82b641e3351913f6260b039d,Vivek,Mishra,Computer Science and Engineering,Male,3.92,5.0,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,80%-100%,No,3,Yes,10th,2.89,2.75
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vikram,Sharma,Computer Science and Engineering,Male,4.3,4.75,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.75
skumar,Cdf!a6@1,4c111ca9a631f6bbc4b8758d0a95aa0c01a7ac7c846b2d4931b5d2e99849513f,Sneha,Kumar,Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000) ",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.75,2.75
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rahul,Yadav,Computer Science and Engineering,Male,4.0,4.13,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.82,2.75
skumar,Cdf!a6@1,4c111ca9a631f6bbc4b8758d0a95aa0c01a7ac7c846b2d4931b5d2e99849513f,Suresh,Kumar,Computer Science and Engineering,Male,4.95,5.0,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.88,2.75
